date,time,temperature_2m,temp_f
2026-07-16,2026-07-16T14:45,25.7,78.3
2026-07-16,2026-07-16T15:00,26.0,78.8
2026-07-16,2026-07-16T15:15,26.4,79.5
2026-07-16,2026-07-16T15:45,26.3,79.3
2026-07-17,2026-07-17T02:00,12.5,54.5
2026-07-17,2026-07-17T06:15,14.0,57.2
2026-07-17,2026-07-17T11:00,24.9,76.8
2026-07-17,2026-07-17T13:15,26.4,79.5
2026-07-17,2026-07-17T13:30,26.4,79.5
2026-07-17,2026-07-17T13:30,26.4,79.5
2026-07-17,2026-07-17T13:45,26.2,79.2
2026-07-17,2026-07-17T13:45,26.2,79.2
2026-07-17,2026-07-17T13:45,26.2,79.2
2026-07-17,2026-07-17T14:45,24.8,76.6
2026-07-17,2026-07-17T15:45,22.9,73.2
2026-07-18,2026-07-18T01:45,12.1,53.8
2026-07-18,2026-07-18T06:00,12.8,55.0
2026-07-18,2026-07-18T10:45,24.9,76.8
2026-07-18,2026-07-18T15:45,27.8,82.0
2026-07-19,2026-07-19T02:00,12.3,54.1
2026-07-19,2026-07-19T06:15,13.8,56.8
2026-07-19,2026-07-19T10:45,25.9,78.6
2026-07-19,2026-07-19T15:45,27.4,81.3
2026-07-20,2026-07-20T03:00,14.1,57.4
2026-07-20,2026-07-20T07:00,16.5,61.7
2026-07-20,2026-07-20T11:45,27.5,81.5
2026-07-20,2026-07-20T16:00,28.9,84.0
2026-07-21,2026-07-21T02:15,14.0,57.2
2026-07-21,2026-07-21T06:45,16.8,62.2
2026-07-21,2026-07-21T11:15,26.7,80.1
2026-07-21,2026-07-21T15:45,27.2,81.0
2026-07-22,2026-07-22T02:15,15.3,59.5
2026-07-22,2026-07-22T06:45,15.8,60.4
2026-07-22,2026-07-22T11:00,22.4,72.3
2026-07-22,2026-07-22T16:00,22.5,72.5
2026-07-23,2026-07-23T02:15,13.1,55.6
2026-07-23,2026-07-23T06:45,15.1,59.2
2026-07-23,2026-07-23T11:00,20.3,68.5
2026-07-23,2026-07-23T15:45,24.2,75.6
